#RunNumber	RunDate	Meteo_MeanTemperature	Meteo_MeanWindSpeed	Meteo_MeanWindDirection	Meteo_MeanRelativeHumidity	Meteo_MeanPressure	Lidar_Opacity_355nm	Lidar_Opacity_532nm	TC	MeanSystemRate	ZenithEqMeanSystemRate	ZenithEqMeanSystemRate/MeanSystemRate	Telescope	TriggerRate	CorrectedTriggerRate	MedianNSB	NSBRelativeVariation	NSBRelativeDispersion	CTRadiometer_MeanTemp	CTRadiometer_TempRelativeVariation	CTRadiometer_TempRelativeDispersion	MedianScaler	ScalerRelativeVariation	ScalerRelativeDispersion	MedianTriggerRate	TriggerRateVariation	TriggerRateDispersion	Tracking_ZenithMean
65536	2011-07-12_03:47:30	6.31049	0.35398	101.16400	56.38040	826.00100	0.43225	0.06170	0.92965	198.79200	219.50700	1.10420	1.00000	142.29700	144.20100	0.58975	-0.21040	0.77941	-52.10330	0.24306	0.19383	137.47000	3.81095	8.10800	142.49900	-0.02557	1.57361	30.79960
65550	2011-07-13_03:54:22	7.43458	1.90210	86.54530	54.23880	825.00100	0.45950	0.06278	0.98288	221.05300	243.98300	1.10373	1.00000	157.95600	159.97700	0.73303	-10.83000	2.53615	-51.41090	0.12721	0.19372	76.31080	-27.20670	12.07890	157.68500	-2.09228	1.51717	30.75190
65568	2011-07-17_17:44:58	9.65221	0.85051	89.90460	29.61970	825.00400	0.00000	0.00000	0.95625	198.73500	240.82100	1.21177	1.00000	149.01300	151.01500	1.10983	1.49510	0.00000	-52.89260	0.27444	0.22801	102.00000	-14.38570	8.05747	148.61300	-3.82198	1.59241	38.52670
65569	2011-07-17_18:15:18	9.32749	1.08966	92.96150	29.97960	825.06900	0.00000	0.00000	0.00000	202.72100	240.45200	1.18613	1.00000	150.41100	150.96600	0.00000	0.00000	0.00000	-53.35180	0.25294	0.22026	102.00000	17.64710	0.00000	150.45200	0.69585	1.55305	37.05170
65588	2011-07-18_17:59:18	10.73170	0.10401	89.81580	21.73810	825.00100	0.43770	0.05753	0.92387	169.38800	248.00000	1.46409	1.00000	129.79000	131.85500	1.36730	-1.20640	0.65010	-50.20500	-0.66361	0.40910	262.05300	-13.38620	5.85081	129.71700	-7.63195	1.54066	47.97090
65589	2011-07-18_18:31:06	8.55544	0.57283	59.69210	26.76060	825.00300	0.00000	0.00000	1.00391	230.12600	244.64700	1.06310	1.00000	166.96800	167.19500	1.00014	5.53183	2.99674	-54.23060	0.27888	0.20128	102.04100	17.22840	15.87610	166.96700	0.86156	1.39077	25.91090
65590	2011-07-18_19:01:57	7.88326	0.95464	51.24990	26.28930	825.00300	0.43418	0.05898	0.98783	229.84400	242.61300	1.05556	1.00000	165.47000	164.57200	1.15895	33.44140	5.15295	-54.13420	-0.05234	0.23957	178.87200	109.65200	15.42300	165.36800	0.59714	1.52544	24.77110
65651	2011-07-19_17:45:36	9.77471	0.79778	35.07580	25.64370	824.00200	0.36816	0.06020	0.75487	105.51800	156.53000	1.48344	1.00000	82.57590	83.17380	1.21071	-2.10899	2.12970	-48.48090	-2.74672	0.55081	186.82100	-9.99175	9.53643	82.51310	-16.01700	1.67273	48.47400
65652	2011-07-19_18:15:54	9.77257	0.86586	27.26170	25.32220	824.00300	0.00000	0.00000	0.80458	153.41800	165.62500	1.07957	1.00000	112.64600	113.76500	1.03996	2.37527	2.60487	-52.36250	0.50414	0.19981	141.14600	25.28090	6.32533	112.59600	-0.04468	1.60548	28.10400
65653	2011-07-19_18:46:52	9.61542	0.69086	28.95460	25.35010	824.00200	0.40380	0.06093	0.78305	155.93100	164.38400	1.05421	1.00000	113.02700	113.44800	0.88763	-15.43100	3.80172	-52.72340	0.42621	0.22019	121.63500	-15.56940	10.73990	112.95500	-0.84114	1.65865	24.54970
65654	2011-07-19_19:17:10	9.14581	0.36238	66.84650	25.70190	824.00200	0.38205	0.06187	0.80397	162.75100	169.82700	1.04348	1.00000	116.76200	118.09200	0.93102	-0.92957	5.08551	-52.95950	0.39716	0.20304	114.16200	1.00038	9.30830	116.64500	3.85792	1.77474	22.63760
65655	2011-07-19_19:47:28	6.70239	0.56236	32.71300	32.41480	824.00300	0.39968	0.06232	0.82799	163.39000	171.75200	1.05118	1.00000	117.22100	118.07800	1.07008	4.85054	4.12668	-52.90650	0.13655	0.20487	175.59400	-2.62051	9.55320	117.37300	0.48761	2.11745	24.03200
65684	2011-07-20_17:51:28	9.41345	0.37568	81.29770	28.51130	824.00000	0.38134	0.06443	0.80460	112.09500	166.16100	1.48233	1.00000	86.60780	89.24920	1.24217	-5.07421	1.14452	-47.79540	-0.26264	0.48763	233.50900	-7.66670	10.58790	86.54850	-7.09381	1.83393	48.42760
